#logIe_J  logsigma  logRe_J  logIe_J_err  logsigma_err  logRe_J_err  weights
  3.357     2.348      0.099     0.048      0.03        0.032      1.5898252  
  3.442     2.193      0.082     0.066      0.077       0.045      1.270648   
  3.191     2.342      0.315     0.087      0.038       0.058      1.0        
  2.722     2.091      0.486     0.091      0.151       0.061      1.0        
  3.192     2.27       0.316     0.048      0.018       0.032      1.0        
  2.887     2.18       0.433     0.073      0.045       0.049      1.0        
  3.226     2.287      0.236     0.062      0.037       0.042      1.0        
  3.161     2.182      0.339     0.086      0.046       0.058      1.0        
  3.112     2.319      0.405     0.08       0.044       0.054      1.0        
  2.959     2.28       0.348     0.079      0.078       0.053      1.0649627  
  3.311     2.321      0.321     0.065      0.023       0.044      1.0        
  2.968     2.375      0.439     0.074      0.042       0.05       1.0        
  3.08      2.193      0.346     0.083      0.062       0.056      1.0        
  3.269     2.099      0.034     0.094      0.129       0.064      3.1645567  
  3.22      2.327      0.34      0.081      0.05        0.055      1.0        
  3.361     2.39       0.326     0.073      0.027       0.049      1.0        
  3.218     2.26       0.319     0.065      0.05        0.044      1.0        
  3.318     2.316      0.275     0.081      0.061       0.055      1.0        
  3.195     2.207      0.209     0.068      0.044       0.046      1.2091898  
  3.283     2.379      0.329     0.079      0.036       0.054      1.0        
  3.333     2.347      0.295     0.074      0.036       0.05       1.0        
  3.118     2.28       0.389     0.081      0.041       0.055      1.0        
  3.228     2.217      0.264     0.059      0.025       0.04       1.0        
  2.691     2.311      0.582     0.082      0.049       0.055      1.0        
  3.356     2.24       0.071     0.088      0.109       0.059      1.8248175  
  3.066     2.44       0.351     0.048      0.025       0.032      1.0        
  3.1       2.102      0.41      0.079      0.095       0.054      1.0        
  3.269     2.364      0.381     0.048      0.014       0.032      1.0        
  2.934     2.238      0.57      0.071      0.065       0.048      1.0        
  2.994     2.419      0.585     0.057      0.025       0.039      1.0        
  2.853     2.087      0.62      0.063      0.082       0.042      1.0        
